geocode,etiqueta,granularidad,gcd_iata,gcd_icao,longitud,latitud,geohash
AE_OMAA,Aeropuerto Internacional Abu Dhabi,AEROPUERTOS,AUH,OMAA,54.6511,24.433001,thqfgxgswc
AE_OMAD,Aeropuerto de Batten,AEROPUERTOS,AZI,OMAD,54.458099,24.428301,thqdzpp1jt
AE_OMAJ,Aeropuerto Internacional Jebel Dhana,AEROPUERTOS,,OMAJ,52.613998,24.187401,thm3t70mg4
AE_OMAL,Aeropuerto Internacional Al Ain,AEROPUERTOS,AAN,OMAL,55.6092,24.2617,thrd12tqsk
AE_OMAM,Base aérea Al Ddafra,AEROPUERTOS,DHF,OMAM,54.547699,24.248199,thqccq0rvx
AE_OMAW,Base Aérea Sweihan,AEROPUERTOS,,OMAW,54.974167,24.527222,thr5dcncqv
AE_OMDB,Aeropuerto Internacional Dubai,AEROPUERTOS,DXB,OMDB,55.364399,25.2528,thrrev5hhp
AE_OMDM,Base Aérea Al Minhad,AEROPUERTOS,NHD,OMDM,55.366199,25.0268,thrq7gurtv
AE_OMDW,Aeropuerto Internacional Al Maktoum,AEROPUERTOS,DWC,OMDW,55.161389,24.896356,thrjxhprc9
AE_OMFJ,Aeropuerto Internacional Fujairah,AEROPUERTOS,FJR,OMFJ,56.324001,25.1122,tk2ncetchm
AE_OMRK,Aeropuerto Internacional Ras Al Khaimah,AEROPUERTOS,RKT,OMRK,55.938801,25.613501,thxc8yv3kw
AE_OMSJ,Aeropuerto Internacional Sharjah,AEROPUERTOS,SHJ,OMSJ,55.5172,25.3286,thx2p6fmu9
AF_OAHR,Aeropuerto de Herat,AEROPUERTOS,HEA,OAHR,62.228298,34.209999,tqh6859r8q
AF_OAIX,Base Aérea Bagram,AEROPUERTOS,OAI,OAIX,69.264999,34.946098,tw1qb1tpz2
AF_OAKB,Aeropuerto Internacional Hamid Karzai,AEROPUERTOS,KBL,OAKB,69.212303,34.565899,tw1hwuwbgw
AF_OAKN,Aeropuerto de Kandahar,AEROPUERTOS,KDH,OAKN,65.847801,31.5058,tmwg4rkysf
AF_OAMS,Aeropuerto de Mazar I Sharif,AEROPUERTOS,MZR,OAMS,67.209702,36.706902,tqxbc6k95w
AF_OAZI,Base Aérea Camp Bastion,AEROPUERTOS,OAZ,OAZI,64.224602,31.8638,tmttm2wujd
AG_TAPA,Aeropuerto Internacional V.C. Bird,AEROPUERTOS,ANU,TAPA,-61.792702,17.1367,deh13zeut8
AI_TQPF,Aeropuerto Internacional Clayton J Lloyd,AEROPUERTOS,AXA,TQPF,-63.055099,18.2048,de5pt4hdts
AL_LATI,Aeropuerto Internacional Tirana Madre Teresa,AEROPUERTOS,TIA,LATI,19.7206,41.4147,srq58g2457
AM_UDYZ,Aeropuerto Internacional Zvartnots,AEROPUERTOS,EVN,UDYZ,44.395901,40.147301,szps6k84gr
AO_FNBG,Aeropuerto Benguela,AEROPUERTOS,BUG,FNBG,13.4037,-12.609,kmc830872b
AO_FNCA,Aeropuerto Cabinda,AEROPUERTOS,CAB,FNCA,12.1884,-5.59699,kr08jm574m
AO_FNLU,Aeropuerto Cuatro de Febrero,AEROPUERTOS,LAD,FNLU,13.2312,-8.85837,kq3mt56sm2
AR_SAAR,Aeropuerto Internacional Rosario Islas Malvinas,AEROPUERTOS,ROS,SAAR,-60.785,-32.9036,6dhubf1dwu
AR_SABE,Aeroparque Jorge Newbery,AEROPUERTOS,AEP,SABE,-58.4156,-34.5592,69y7qsxn1f
AR_SACO,Aeropuerto Internacional Ingeniero Ambrosio Taravella,AEROPUERTOS,COR,SACO,-64.208,-31.323601,6d6mfctnv1
AR_SADP,Aeroparque El Palomar,AEROPUERTOS,EPA,SADP,-58.6126,-34.6099,69y745rwer
AR_SAEZ,Aeropuerto Internacional Ministro Pistarini,AEROPUERTOS,EZE,SAEZ,-58.5358,-34.8222,69y3guz9bz
AR_SAME,Aeroparque El Plumerillo,AEROPUERTOS,MDZ,SAME,-68.7929,-32.831699,66pj4x4t3p
AR_SANR,Aeropuerto Internacional Termas de Río Hondo,AEROPUERTOS,RHD,SANR,-64.93595,-27.4966,6e1gd67hdw
AR_SANT,Aeropuerto Teniente Benjamin Matienzo,AEROPUERTOS,TUC,SANT,-65.104897,-26.8409,6e1xq9b03v
AR_SAOR,Aeropuerto Villa Reynolds,AEROPUERTOS,VME,SAOR,-65.387398,-33.7299,6d1805dm54
AR_SARE,Aeropuerto Internacional Resistencia,AEROPUERTOS,RES,SARE,-59.0561,-27.45,6en5b4usjj
AR_SARI,Aeropuerto Internacional Cataratas Del Iguazú,AEROPUERTOS,IGR,SARI,-54.4734,-25.737301,6g3m86ttmg
AR_SASA,Aeropuerto Internacional Martin Miguel De Guemes,AEROPUERTOS,SLA,SASA,-65.486198,-24.856001,6e96tg47kc
AR_SAVR,Aeropuerto D. Casimiro Szlapelis,AEROPUERTOS,ARR,SAVR,-70.812202,-45.013599,4rvxuts0u0
AR_SAWH,Aeropuerto Malvinas Argentinas,AEROPUERTOS,USH,SAWH,-68.2958,-54.8433,4qr2jbhd8e
AR_SAZF,Aeropuerto Olavarria,AEROPUERTOS,OVR,SAZF,-60.216599,-36.889999,69mnjsrs5t
AR_SAZN,Aeropuerto Presidente Peron,AEROPUERTOS,NQN,SAZN,-68.155701,-38.949001,63pd3jd995
AR_SAZS,Aeropuerto San Carlos De Bariloche,AEROPUERTOS,BRC,SAZS,-71.157501,-41.151199,62tmuu8syh
AR_SAZY,Aeropuerto Aviador C. Campos,AEROPUERTOS,CPC,SAZY,-71.137299,-40.075401,62vkj0rrug
AT_LOAN,Aeropuerto Wiener Neustadt East,AEROPUERTOS,,LOAN,16.260099,47.8433,u2e84j85rv
AT_LOWG,Aeropuerto de Graz,AEROPUERTOS,GRZ,LOWG,15.4396,46.9911,u26gr66ybz
AT_LOWI,Aeropuerto de Innsbruck,AEROPUERTOS,INN,LOWI,11.344,47.260201,u22hf5kqwk
AT_LOWK,Aeropuerto de Klagenfurt,AEROPUERTOS,KLU,LOWK,14.3377,46.642502,u261q702k8
AT_LOWL,Aeropuerto de Linz Hörsching,AEROPUERTOS,LNZ,LOWL,14.1875,48.2332,u2d46ue4b8
AT_LOWS,Aeropuerto de Salzburgo,AEROPUERTOS,SZG,LOWS,13.0043,47.793301,u23pzut2nj
AT_LOWW,Aeropuerto Internacional Viena,AEROPUERTOS,VIE,LOWW,16.5697,48.110298,u2ec9n1wvc
AU_YBBN,Aeropuerto de Brisbane,AEROPUERTOS,BNE,YBBN,153.117004,-27.384199,r7huhqb7kz
AU_YBHI,Aeropuerto de Broken Hill,AEROPUERTOS,BHQ,YBHI,141.472,-32.0014,r4k9gq2f2d
AU_YGEL,Aeropuerto de Geraldton,AEROPUERTOS,GET,YGEL,114.707001,-28.796101,qdcs4jz4dc
AU_YGLO,Aeropuerto de Glenormiston,AEROPUERTOS,GLM,YGLO,138.824997,-22.8883,r5ftz133bz
AU_YLFD,Aeropuerto de Lakefield,AEROPUERTOS,LFP,YLFD,144.203,-14.9207,rjqe17v2t7
AU_YMAV,Aeropuerto de Avalon,AEROPUERTOS,AVV,YMAV,144.468994,-38.039398,r1nxx7ph7w
AU_YMML,Aeropuerto Internacional Melbourne,AEROPUERTOS,MEL,YMML,144.843002,-37.673302,r1qcxvz3ne
AU_YNUB,Aeropuerto de Nullabor Motel,AEROPUERTOS,NUR,YNUB,130.901993,-31.4417,qfmj4spyvd
AU_YPAD,Aeropuerto Internacional Adelaide,AEROPUERTOS,ADL,YPAD,138.531006,-34.945,r1f90q7nw7
AU_YPLM,Aeropuerto de Learmonth,AEROPUERTOS,LEA,YPLM,114.088997,-22.2356,qs11s0jh4r
AU_YPPH,Aeropuerto Internacional Perth,AEROPUERTOS,PER,YPPH,115.967003,-31.9403,qd66qckw70
AU_YSSY,Aeropuerto Internacional Sydney Kingsford Smith,AEROPUERTOS,SYD,YSSY,151.177002,-33.946098,r3gwbh79xk
AW_TNCA,Aeropuerto Internacional Reina Beatrix,AEROPUERTOS,AUA,TNCA,-70.015198,12.5014,d6npngb3zt
AZ_UBBB,Aeropuerto Internacional Heydar Aliyev,AEROPUERTOS,GYD,UBBB,50.0467,40.467499,tp5w4yfuk8
AZ_UBBG,Aeropuerto de Ganja,AEROPUERTOS,KVD,UBBG,46.3176,40.737701,tp0zvbp6q3
AZ_UBBL,Aeropuerto Internacional Lankaran,AEROPUERTOS,LLK,UBBL,48.818001,38.746399,tnfsqvs4ju
BA_LQSA,Aeropuerto Internacional Sarajevo,AEROPUERTOS,SJJ,LQSA,18.331499,43.8246,srv134h8fc
BA_LQTZ,Aeropuerto Internacional Tuzla,AEROPUERTOS,TZL,LQTZ,18.7248,44.458698,srvkfj6yxm
BB_TBPB,Aeropuerto Internacional Sir Grantley Adams,AEROPUERTOS,BGI,TBPB,-59.4925,13.0746,ddmdqhnvh6
BB_TBPO,Helipuerto de Bridgetown,AEROPUERTOS,,TBPO,-59.618611,13.095833,ddmde250c8
BD_VGHS,Aeropuerto Internacional Hazrat Shahjalal,AEROPUERTOS,DAC,VGHS,90.397783,23.843347,wh0r9h99t4
BD_VGSY,Aeropuerto Internacional Osmany,AEROPUERTOS,ZYL,VGSY,91.866798,24.9632,wh3q42rm5t
BE_EBAW,Aeropuerto Internacional Antwerp Deurne,AEROPUERTOS,ANR,EBAW,4.46028,51.1894,u155jqxzu5
BE_EBBL,Base Aérea Kleine Brogel,AEROPUERTOS,,EBBL,5.47,51.168301,u15gh6zhun
BE_EBBR,Aeropuerto de Brussels,AEROPUERTOS,BRU,EBBR,4.48444,50.901402,u151w436pj
BE_EBCI,Aeropuerto Brussels South Charleroi,AEROPUERTOS,CRL,EBCI,4.45382,50.459202,u0gpj3g4jt
BE_EBFS,Base Aérea Florennes,AEROPUERTOS,,EBFS,4.64583,50.243301,u0gmcdwbrw
BE_EBKT,Aeropuerto de Wevelgem,AEROPUERTOS,KJK,EBKT,3.20472,50.8172,u1430fvxek
BE_EBLG,Aeropuerto de Liège Airport,AEROPUERTOS,LGG,EBLG,5.44322,50.637402,u15b5f78hp
BE_EBLH,Helipuerto de Liege,AEROPUERTOS,,EBLH,,,
BE_EBMB,Base Aérea Melsbroek,AEROPUERTOS,,EBMB,4.49,50.913,u151whmt8x
BE_EBOS,Aeropuerto Internacional Ostend-Bruges,AEROPUERTOS,OST,EBOS,2.86222,51.198898,u14530kpnw
BF_DFER,Aeropuerto de Arly,AEROPUERTOS,ARL,DFER,1.483,11.597,s411cxpvkm
BF_DFFD,Aeropuerto de Ouagadougou,AEROPUERTOS,OUA,DFFD,-1.51242,12.3532,efnym8fdw5
BF_DFOO,Aeropuerto de Bobo Dioulasso,AEROPUERTOS,BOY,DFOO,-4.33097,11.1601,ecuzmrwk31
BG_LBBG,Aeropuerto Internacional Burgas,AEROPUERTOS,BOJ,LBBG,27.5152,42.569599,sxed4jecys
BG_LBGO,Aeropuerto de Gorna Oryahovitsa,AEROPUERTOS,GOZ,LBGO,25.7129,43.151402,sxdm3p7x1u
BG_LBPD,Aeropuerto Internacional Plovdiv,AEROPUERTOS,PDV,LBPD,24.8508,42.067799,sx3xm6py9w
BG_LBSF,Aeropuerto de Sofia,AEROPUERTOS,SOF,LBSF,23.411436,42.696693,sx8dusxwmb
BG_LBWN,Aeropuerto de Varna,AEROPUERTOS,VAR,LBWN,27.8251,43.232101,sxevcnjt5z
